id,name,description,category,image_url,location
amur-leopard,Amur Leopard,One of the rarest big cats in the world with fewer than 70 individuals remaining. Population crisis caused by habitat loss and illegal hunting.,Big Cat,https://a-z-animals.com/media/animals/images/original/amur_leopard.jpg,Russian Far East
vaquita,Vaquita,The world's smallest porpoise. Only about 10 left due to illegal fishing nets and accidental capture in fishing equipment.,Marine Mammal,https://a-z-animals.com/media/animals/images/original/vaquita.jpg,Gulf of California
javan-rhino,Javan Rhino,Fewer than 70 individuals survive in one protected reserve. Hunted for horn and habitat destruction.,Mammal,https://a-z-animals.com/media/animals/images/original/javan_rhino.jpg,Indonesia
california-condor,California Condor,These massive vultures nearly went extinct. Once reduced to just 27 birds but slowly recovering through careful breeding programs.,Bird,https://a-z-animals.com/media/animals/images/original/california_condor.jpg,California
saola,Saola,Called the Asian unicorn but critically endangered. Fewer than 250 left due to deforestation and hunting.,Mammal,https://a-z-animals.com/media/animals/images/original/saola.jpg,Vietnam and Laos
sumatran-orangutan,Sumatran Orangutan,Forest habitat destroyed for palm oil plantations. Population cut by over 80 percent in the last 20 years.,Great Ape,https://a-z-animals.com/media/animals/images/original/sumatran_orangutan.jpg,Sumatra
mountain-gorilla,Mountain Gorilla,Found in volcanic forests threatened by human expansion and civil conflict. Population recovering slowly to about 1000.,Great Ape,https://a-z-animals.com/media/animals/images/original/mountain_gorilla.jpg,Central Africa
axolotl,Axolotl,This aquatic salamander is nearly extinct in the wild due to water pollution and habitat loss in Mexico City.,Amphibian,https://a-z-animals.com/media/animals/images/original/axolotl.jpg,Mexico City
bornean-elephant,Bornean Elephant,Smallest elephant subspecies. Habitat destruction from logging and palm oil farming has reduced population to under 1500.,Mammal,https://a-z-animals.com/media/animals/images/original/bornean_elephant.jpg,Borneo
kakapo,Kakapo,Flightless parrot from New Zealand with fewer than 200 surviving birds. Only found on predator-free islands now.,Bird,https://a-z-animals.com/media/animals/images/original/kakapo.jpg,New Zealand
